Brinco_Pai;Brinco_Mae;Media_Pai;Media_Mae;Idade;Ordem_Lac;DEL;Brinco_Animal;Prod_Leit
14101;14031;1.66;1.87;3;1;415;19047;1.2
14101;14031;1.66;1.87;3;1;7;19047;3.8
14101;14031;1.66;1.87;3;2;32;19047;3.3
14101;14031;1.66;1.87;3;2;71;19047;3.9
14101;14031;1.66;1.87;3;2;98;19047;3.6
14101;14031;1.66;1.87;3;2;134;19047;3
14101;14031;1.66;1.87;3;2;165;19047;2.1
14101;14031;1.66;1.87;4;2;231;19047;3.1
14101;14031;1.66;1.87;4;2;256;19047;2.1
14101;14031;1.66;1.87;4;2;346;19047;1.5
14101;14031;1.66;1.87;4;2;44;19047;0.7
14101;14031;1.66;1.87;5;3;91;19047;1.5
14101;14031;1.66;1.87;5;3;115;19047;1.8
13362;14031;1.46;1.87;3;1;35;17005;3.1
13362;14031;1.46;1.87;3;1;112;17005;1.5
13362;14031;1.46;1.87;4;1;151;17005;2.6
13362;14031;1.46;1.87;4;1;201;17005;2.7
13362;14031;1.46;1.87;4;1;354;17005;0.7
13362;14031;1.46;1.87;4;1;397;17005;1.1
13362;14031;1.46;1.87;4;1;411;17005;0.7
13362;14031;1.46;1.87;4;1;9;17005;3.5
13362;14031;1.46;1.87;4;2;34;17005;2.7
13362;14031;1.46;1.87;5;2;75;17005;3
13362;14031;1.46;1.87;5;2;100;17005;2.7
13362;14031;1.46;1.87;5;2;128;17005;2.5
13362;14031;1.46;1.87;5;2;159;17005;2.6
13362;14031;1.46;1.87;5;2;189;17005;2.5
13362;14031;1.46;1.87;5;2;221;17005;2.2
13362;14031;1.46;1.87;5;2;256;17005;1.4
13362;14031;1.46;1.87;5;2;281;17005;0.9
13362;14031;1.46;1.87;5;2;35;17005;3.8
13362;14031;1.46;1.87;5;3;66;17005;2.9
13362;14031;1.46;1.87;6;3;132;17005;4.5
13362;14031;1.46;1.87;6;3;157;17005;2.4
13362;14031;1.46;1.87;6;3;247;17005;2.1
13362;14031;1.46;1.87;7;3;42;17005;1.3
13362;14031;1.46;1.87;7;4;66;17005;3
15009;14036;1.76;0.6;2;1;101;19099;1.9
15009;14036;1.76;0.6;2;1;144;19099;1.7
15009;14036;1.76;0.6;2;1;158;19099;1.2
15009;14036;1.76;0.6;2;1;190;19099;1.9
15009;14036;1.76;0.6;2;1;215;19099;1.6
15009;14036;1.76;0.6;3;1;256;19099;1.6
15009;14036;1.76;0.6;3;1;281;19099;1.0
15009;14036;1.76;0.6;3;1;309;19099;1.0
15009;14036;1.76;0.6;3;1;340;19099;0.8
15009;14036;1.76;0.6;3;1;6;19099;2.7
15009;14036;1.76;0.6;3;2;31;19099;2.8
14101;14036;1.66;0.6;4;1;231;17004;0.7
14101;14036;1.66;0.6;4;1;256;17004;0.6
14101;14036;1.66;0.6;5;1;443;17004;1.6
14101;14036;1.66;0.6;5;1;478;17004;1.9
14101;14036;1.66;0.6;5;1;503;17004;1.1
14101;14036;1.66;0.6;5;1;542;17004;0.7
14101;14036;1.66;0.6;5;1;569;17004;0.6
14101;14036;1.66;0.6;5;1;605;17004;0.6
13362;14072;1.46;1.7;2;1;92;19035;3.2
13362;14072;1.46;1.7;2;1;135;19035;3.8
13362;14072;1.46;1.7;2;1;149;19035;3.1
13362;14072;1.46;1.7;2;1;181;19035;2.8
13362;14072;1.46;1.7;2;1;206;19035;3.1
13362;14072;1.46;1.7;3;1;247;19035;2
13362;14072;1.46;1.7;3;1;272;19035;1.5
13362;14072;1.46;1.7;3;1;300;19035;1.3
13362;14072;1.46;1.7;3;1;331;19035;1.5
13362;14072;1.46;1.7;3;1;361;19035;0.5
13362;14072;1.46;1.7;3;1;8;19035;4.9
13362;14072;1.46;1.7;3;2;33;19035;4
13362;14072;1.46;1.7;3;2;72;19035;4.3
13362;14072;1.46;1.7;3;2;99;19035;4
13362;14072;1.46;1.7;3;2;135;19035;3.1
13362;14072;1.46;1.7;3;2;166;19035;2
13362;14072;1.46;1.7;4;2;232;19035;4.8
13362;14072;1.46;1.7;4;2;257;19035;3
13362;14072;1.46;1.7;4;2;347;19035;1.9
13362;14072;1.46;1.7;4;2;7;19035;2.9
13362;14072;1.46;1.7;4;3;41;19035;1.2
13362;14072;1.46;1.7;5;3;88;19035;2.1
13362;14072;1.46;1.7;5;3;112;19035;3.6
19078;14108;1.58;1.86;2;1;23;21108;2.4
19078;14108;1.58;1.86;2;1;135;21108;2
19078;14108;1.58;1.86;2;1;166;21108;2.2
19078;14108;1.58;1.86;2;1;200;21108;1.7
19078;14108;1.58;1.86;3;1;247;21108;1.5
19078;14108;1.58;1.86;3;1;271;21108;1.6
15009;14108;1.76;1.86;2;1;121;19051;2.4
15009;14108;1.76;1.86;2;1;164;19051;2.2
15009;14108;1.76;1.86;2;1;178;19051;1.9
15009;14108;1.76;1.86;2;1;210;19051;2.2
15009;14108;1.76;1.86;2;1;235;19051;2.2
15009;14108;1.76;1.86;3;1;276;19051;2
15009;14108;1.76;1.86;3;1;301;19051;1.2
15009;14108;1.76;1.86;3;1;329;19051;0.9
15009;14108;1.76;1.86;3;1;360;19051;1.1
15009;14108;1.76;1.86;3;1;390;19051;1.0
15009;14108;1.76;1.86;3;1;422;19051;0.3
15009;14108;1.76;1.86;3;1;29;19051;2.1
15009;14108;1.76;1.86;3;2;56;19051;3
15009;14108;1.76;1.86;3;2;92;19051;2.5
15009;14108;1.76;1.86;3;2;123;19051;1.5
15009;14108;1.76;1.86;4;2;189;19051;2.6
15009;14108;1.76;1.86;4;2;214;19051;1.5
15009;14108;1.76;1.86;4;2;304;19051;1.0
15009;14108;1.76;1.86;4;2;17;19051;2.2
15009;14108;1.76;1.86;4;3;51;19051;2.1
15009;14108;1.76;1.86;5;3;98;19051;1.1
14101;14108;1.66;1.86;4;1;824;16008;1.9
14101;14108;1.66;1.86;5;1;863;16008;1.7
14101;14108;1.66;1.86;5;1;913;16008;1.0
10029;14131;1.31;0.62;3;1;17;17039;2.9
10029;14131;1.31;0.62;3;1;94;17039;2.1
10029;14131;1.31;0.62;4;1;133;17039;2.1
10029;14131;1.31;0.62;4;1;183;17039;1.2
13825;14131;1.69;0.62;4;1;27;16055;2.6
13825;14131;1.69;0.62;4;1;104;16055;1.1
13362;14136;1.46;1.38;2;1;27;21060;1.8
13362;14136;1.46;1.38;2;1;139;21060;1.7
13362;14136;1.46;1.38;2;1;170;21060;1.7
13362;14136;1.46;1.38;2;1;204;21060;1.3
13362;14136;1.46;1.38;3;1;251;21060;1.4
13362;14136;1.46;1.38;3;1;275;21060;1.1
13362;14140;1.46;1.43;1;1;18;21038;1.6
13362;14140;1.46;1.43;1;1;45;21038;2.2
13362;14140;1.46;1.43;1;1;81;21038;2.5
13362;14140;1.46;1.43;1;1;112;21038;1.2
13362;14140;1.46;1.43;2;1;178;21038;1.8
13362;14140;1.46;1.43;2;1;203;21038;1.4
13362;14140;1.46;1.43;2;1;293;21038;0.6
13362;14140;1.46;1.43;2;1;51;21038;1.9
13362;14140;1.46;1.43;2;2;82;21038;2.4
13362;14140;1.46;1.43;2;2;116;21038;2.1
13362;14140;1.46;1.43;3;2;163;21038;2
13362;14140;1.46;1.43;3;2;187;21038;1.5
13362;14140;1.46;1.43;2;1;48;19059;2
13362;14140;1.46;1.43;2;1;73;19059;1.3
13362;14140;1.46;1.43;3;1;114;19059;1.6
13362;14140;1.46;1.43;3;1;139;19059;1.2
13362;14140;1.46;1.43;3;1;167;19059;1.5
13362;14140;1.46;1.43;3;1;198;19059;0.9
13362;14140;1.46;1.43;3;1;228;19059;0.9
13362;14140;1.46;1.43;3;1;260;19059;0.5
13362;14140;1.46;1.43;3;1;295;19059;0.2
13362;14140;1.46;1.43;3;1;16;19059;1.9
13362;14140;1.46;1.43;3;2;52;19059;2.7
13362;14140;1.46;1.43;3;2;83;19059;1.7
13362;14140;1.46;1.43;4;2;149;19059;1.9
13362;14140;1.46;1.43;4;2;174;19059;0.9
13362;15018;1.46;1.74;2;1;81;21052;1.1
13362;15018;1.46;1.74;2;1;193;21052;1.1
13362;15018;1.46;1.74;2;1;224;21052;1.3
13362;15018;1.46;1.74;2;1;258;21052;1.3
13362;15018;1.46;1.74;3;1;305;21052;0.8
13362;15018;1.46;1.74;3;1;329;21052;0.6
13362;15020;1.46;2.08;2;1;145;19007;2
13362;15020;1.46;2.08;2;1;188;19007;2.6
13362;15020;1.46;2.08;2;1;202;19007;1.9
13362;15020;1.46;2.08;2;1;234;19007;1.9
13362;15020;1.46;2.08;2;1;259;19007;2.2
13362;15020;1.46;2.08;3;1;300;19007;1.4
13362;15020;1.46;2.08;3;1;325;19007;1.2
13362;15020;1.46;2.08;3;1;353;19007;1.3
13362;15020;1.46;2.08;3;1;384;19007;1.3
13362;15020;1.46;2.08;3;1;414;19007;0.9
13362;15020;1.46;2.08;3;1;1;19007;1.8
13362;15020;1.46;2.08;3;2;26;19007;3.4
13362;15020;1.46;2.08;3;2;65;19007;3.8
13362;15020;1.46;2.08;3;2;92;19007;3.5
13362;15020;1.46;2.08;3;2;128;19007;2.6
13362;15020;1.46;2.08;3;2;159;19007;2
13362;15020;1.46;2.08;4;2;225;19007;4.1
13362;15020;1.46;2.08;4;2;250;19007;1.7
13362;15020;1.46;2.08;4;2;340;19007;1.5
13362;15020;1.46;2.08;4;2;14;19007;3.1
13362;15020;1.46;2.08;4;3;48;19007;3.1
13362;15020;1.46;2.08;5;3;95;19007;2.6
13362;15020;1.46;2.08;5;3;119;19007;2.5
15009;15027;1.76;1;2;1;20;18004;1.5
15009;15027;1.76;1;2;1;97;18004;3
15009;15027;1.76;1;3;1;136;18004;3
15009;15027;1.76;1;3;1;186;18004;2.5
15009;15027;1.76;1;3;1;17;18004;2.7
15009;15027;1.76;1;3;2;49;18004;3.2
15009;15027;1.76;1;3;2;74;18004;2.6
15009;15027;1.76;1;4;2;115;18004;2
15009;15027;1.76;1;4;2;140;18004;2.1
15009;15027;1.76;1;4;2;168;18004;2.2
15009;15027;1.76;1;4;2;199;18004;1.9
15009;15027;1.76;1;4;2;229;18004;1.7
15009;15027;1.76;1;4;2;261;18004;1.4
15009;15027;1.76;1;4;2;296;18004;1.0
15009;15027;1.76;1;4;2;321;18004;0.4
15009;15027;1.76;1;4;2;32;18004;1.4
15009;15027;1.76;1;4;3;63;18004;1.0
15009;15027;1.76;1;5;3;129;18004;3.3
15009;15027;1.76;1;5;3;154;18004;1.7
15009;15027;1.76;1;5;3;244;18004;1.0
15009;15027;1.76;1;5;3;38;18004;1.0
15009;15027;1.76;1;5;4;72;18004;0.3
15009;15027;1.76;1;6;4;119;18004;0.5
10029;15038;1.31;0.7;2;1;1;19075;0.2
